date,competition,weight,home_team,away_team,home_goals,away_goals,total_goals,goal_diff,result,btts,over_2_5,over_3_5,home_win,draw,away_win,neutral
2013-11-19,Friendly,0.1,Kyrgyzstan,Azerbaijan,0,0,0,0,D,0,0,0,0,1,0,False
2013-11-19,AFC Asian Cup qualification,0.8,Lebanon,Iran,1,4,5,-3,A,1,1,1,0,0,1,False
2013-11-19,Friendly,0.1,Liechtenstein,Estonia,0,3,3,-3,A,0,1,0,0,0,1,False
2013-11-19,AFC Asian Cup qualification,0.8,Malaysia,Qatar,0,1,1,-1,A,0,0,0,0,0,1,False
2013-11-19,Friendly,0.1,Malta,Faroe Islands,3,2,5,1,H,1,1,1,1,0,0,False
2013-11-19,Friendly,0.1,Namibia,Mozambique,0,0,0,0,D,0,0,0,0,1,0,False
2013-11-19,Friendly,0.1,Netherlands,Colombia,0,0,0,0,D,0,0,0,0,1,0,False
2013-11-19,Friendly,0.1,Norway,Scotland,0,1,1,-1,A,0,0,0,0,0,1,False
2013-11-19,Friendly,0.1,Poland,Republic of Ireland,0,0,0,0,D,0,0,0,0,1,0,False
2013-11-19,FIFA World Cup qualification,1.0,Romania,Greece,1,1,2,0,D,1,0,0,0,1,0,False
2013-11-19,Friendly,0.1,Russia,South Korea,2,1,3,1,H,1,1,0,1,0,0,True
2013-11-19,Friendly,0.1,Slovenia,Canada,1,0,1,1,H,0,0,0,1,0,0,False
2013-11-19,Friendly,0.1,South Africa,Spain,1,0,1,1,H,0,0,0,1,0,0,False
2013-11-19,FIFA World Cup qualification,1.0,Sweden,Portugal,2,3,5,-1,A,1,1,1,0,0,1,False
2013-11-19,AFC Asian Cup qualification,0.8,Syria,Oman,0,1,1,-1,A,0,0,0,0,0,1,True
2013-11-19,Friendly,0.1,Tanzania,Zimbabwe,0,0,0,0,D,0,0,0,0,1,0,False
2013-11-19,Friendly,0.1,Trinidad and Tobago,Jamaica,2,0,2,2,H,0,0,0,1,0,0,False
2013-11-19,Friendly,0.1,Turkey,Belarus,2,1,3,1,H,1,1,0,1,0,0,False
2013-11-19,AFC Asian Cup qualification,0.8,United Arab Emirates,Vietnam,5,0,5,5,H,0,1,1,1,0,0,False
2013-11-20,FIFA World Cup qualification,1.0,New Zealand,Mexico,2,4,6,-2,A,1,1,1,0,0,1,False
2013-11-20,FIFA World Cup qualification,1.0,Uruguay,Jordan,0,0,0,0,D,0,0,0,0,1,0,False
2013-11-24,Friendly,0.1,Singapore,Cambodia,1,0,1,1,H,0,0,0,1,0,0,False
2013-11-27,CECAFA Cup,0.6,Kenya,Ethiopia,0,0,0,0,D,0,0,0,0,1,0,False
2013-11-27,Friendly,0.1,Seychelles,Maldives,3,1,4,2,H,1,1,1,1,0,0,False
2013-11-27,CECAFA Cup,0.6,Zanzibar,South Sudan,2,1,3,1,H,1,1,0,1,0,0,True
2013-11-28,CECAFA Cup,0.6,Burundi,Somalia,2,0,2,2,H,0,0,0,1,0,0,True
2013-11-28,CECAFA Cup,0.6,Tanzania,Zambia,1,1,2,0,D,1,0,0,0,1,0,True
2013-11-29,Friendly,0.1,Seychelles,Maldives,2,1,3,1,H,1,1,0,1,0,0,False
2013-11-29,CECAFA Cup,0.6,Sudan,Eritrea,3,0,3,3,H,0,1,0,1,0,0,True
2013-11-29,CECAFA Cup,0.6,Uganda,Rwanda,1,0,1,1,H,0,0,0,1,0,0,True
2013-11-30,Friendly,0.1,Dominica,Saint Lucia,0,1,1,-1,A,0,0,0,0,0,1,False
2013-11-30,CECAFA Cup,0.6,Ethiopia,Zanzibar,3,1,4,2,H,1,1,1,1,0,0,True
2013-11-30,CECAFA Cup,0.6,Kenya,South Sudan,3,1,4,2,H,1,1,1,1,0,0,False
2013-12-01,Friendly,0.1,Dominica,Saint Lucia,1,0,1,1,H,0,0,0,1,0,0,False
2013-12-01,CECAFA Cup,0.6,Somalia,Tanzania,0,1,1,-1,A,0,0,0,0,0,1,True
2013-12-01,CECAFA Cup,0.6,Zambia,Burundi,1,0,1,1,H,0,0,0,1,0,0,True
2013-12-02,CECAFA Cup,0.6,Eritrea,Uganda,0,3,3,-3,A,0,1,0,0,0,1,True
2013-12-02,CECAFA Cup,0.6,Sudan,Rwanda,1,0,1,1,H,0,0,0,1,0,0,True
2013-12-03,CECAFA Cup,0.6,Kenya,Zanzibar,2,0,2,2,H,0,0,0,1,0,0,False
2013-12-03,CECAFA Cup,0.6,South Sudan,Ethiopia,0,2,2,-2,A,0,0,0,0,0,1,True
2013-12-04,CECAFA Cup,0.6,Somalia,Zambia,0,4,4,-4,A,0,1,1,0,0,1,True
2013-12-04,CECAFA Cup,0.6,Tanzania,Burundi,1,0,1,1,H,0,0,0,1,0,0,True
2013-12-05,CECAFA Cup,0.6,Rwanda,Eritrea,1,0,1,1,H,0,0,0,1,0,0,True
2013-12-05,CECAFA Cup,0.6,Uganda,Sudan,1,0,1,1,H,0,0,0,1,0,0,True
2013-12-07,CECAFA Cup,0.6,Kenya,Rwanda,1,0,1,1,H,0,0,0,1,0,0,False
2013-12-07,CECAFA Cup,0.6,Uganda,Tanzania,2,2,4,0,D,1,1,1,0,1,0,True
2013-12-08,CECAFA Cup,0.6,Ethiopia,Sudan,0,2,2,-2,A,0,0,0,0,0,1,True
2013-12-08,CECAFA Cup,0.6,Zambia,Burundi,4,3,7,1,H,1,1,1,1,0,0,True
2013-12-10,CECAFA Cup,0.6,Kenya,Tanzania,1,0,1,1,H,0,0,0,1,0,0,False
2013-12-10,CECAFA Cup,0.6,Zambia,Sudan,1,2,3,-1,A,1,1,0,0,0,1,True
2013-12-12,CECAFA Cup,0.6,Kenya,Sudan,2,0,2,2,H,0,0,0,1,0,0,False
2013-12-12,CECAFA Cup,0.6,Tanzania,Zambia,1,1,2,0,D,1,0,0,0,1,0,True
2013-12-14,Friendly,0.1,Libya,Mali,1,0,1,1,H,0,0,0,1,0,0,True
2013-12-21,Friendly,0.1,Qatar,Bahrain,1,1,2,0,D,1,0,0,0,1,0,False
2013-12-25,WAFF Championship,0.6,Oman,Bahrain,0,0,0,0,D,0,0,0,0,1,0,True
2013-12-25,WAFF Championship,0.6,Qatar,Palestine,1,0,1,1,H,0,0,0,1,0,0,False
2013-12-26,WAFF Championship,0.6,Jordan,Lebanon,0,0,0,0,D,0,0,0,0,1,0,True
2013-12-28,WAFF Championship,0.6,Bahrain,Iraq,0,0,0,0,D,0,0,0,0,1,0,True
2013-12-28,WAFF Championship,0.6,Palestine,Saudi Arabia,0,0,0,0,D,0,0,0,0,1,0,True
2013-12-28,Friendly,0.1,Basque Country,Peru,6,0,6,6,H,0,1,1,1,0,0,False
2013-12-28,Friendly,0.1,Galicia,Occitania,1,7,8,-6,A,1,1,1,0,0,1,False
2013-12-29,WAFF Championship,0.6,Lebanon,Kuwait,0,2,2,-2,A,0,0,0,0,0,1,True
2013-12-30,Friendly,0.1,Catalonia,Cape Verde,4,1,5,3,H,1,1,1,1,0,0,False
2013-12-31,WAFF Championship,0.6,Iraq,Oman,0,0,0,0,D,0,0,0,0,1,0,True
2013-12-31,WAFF Championship,0.6,Qatar,Saudi Arabia,4,1,5,3,H,1,1,1,1,0,0,False
2014-01-01,WAFF Championship,0.6,Kuwait,Jordan,1,2,3,-1,A,1,1,0,0,0,1,True
2014-01-04,WAFF Championship,0.6,Bahrain,Jordan,0,1,1,-1,A,0,0,0,0,0,1,True
2014-01-04,Friendly,0.1,Namibia,Ghana,0,1,1,-1,A,0,0,0,0,0,1,False
2014-01-04,Friendly,0.1,Nigeria,Ethiopia,2,1,3,1,H,1,1,0,1,0,0,False
2014-01-04,WAFF Championship,0.6,Qatar,Kuwait,3,0,3,3,H,0,1,0,1,0,0,False
2014-01-07,WAFF Championship,0.6,Bahrain,Kuwait,0,0,0,0,D,0,0,0,0,1,0,True
2014-01-07,WAFF Championship,0.6,Qatar,Jordan,2,0,2,2,H,0,0,0,1,0,0,False
2014-01-07,Friendly,0.1,Zimbabwe,Gabon,2,0,2,2,H,0,0,0,1,0,0,True
